2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
uacounty09:Darlington,"46,670","46,552","40,423","8,209","17,835","14,379","6,099","5,053",778,268,30,118
uacounty09:County Durham,"223,803","223,755","211,091","43,114","83,225","84,752","12,436","9,941","1,306","1,189",228,48
uacounty09:Hartlepool,"40,434","40,412","35,203","6,822","13,448","14,933","5,121","4,489",330,302,88,22
uacounty09:Middlesbrough,"57,203","57,070","49,724","8,001","23,394","18,329","7,325","6,389",589,347,21,133
uacounty09:Northumberland,"138,534","138,500","123,592","35,120","50,127","38,345","14,676","11,602","2,142",932,232,34
uacounty09:Redcar and Cleveland,"59,605","59,534","54,037","10,853","26,602","16,582","5,472","4,107",911,454,25,71
uacounty09:Stockton-on-Tees,"79,159","79,091","70,800","19,489","32,983","18,328","8,228","7,080",716,432,63,68
uacounty09:Gateshead,"89,154","89,137","71,280","9,589","37,886","23,805","17,793","14,911","2,428",454,64,17
uacounty09:Newcastle upon Tyne,"117,153","116,998","80,408","9,234","40,204","30,970","36,569","29,004","6,802",763,21,155
uacounty09:North Tyneside,"91,295","91,254","70,930","9,519","38,701","22,710","20,286","16,003","3,615",668,38,41
uacounty09:South Tyneside,"67,167","67,157","53,557","5,493","28,094","19,970","13,575","10,811","2,308",456,25,10
uacounty09:Sunderland,"119,758","119,572","103,512","13,749","52,667","37,096","15,986","12,868","2,339",779,74,186
uacounty09:Blackburn with Darwen,"57,353","57,253","50,492","8,069","16,590","25,833","6,708","5,657",651,400,53,100
uacounty09:Blackpool,"64,367","64,016","49,382","5,676","24,186","19,520","14,474","9,369","4,062","1,043",160,351
uacounty09:Cheshire East,"159,441","159,344","142,477","56,685","51,914","33,878","16,202","13,418","1,706","1,078",665,97
uacounty09:Cheshire West and Chester,"141,442","141,276","124,364","42,436","51,541","30,387","16,052","13,558","1,607",887,860,166
