2011 census qs601ew - economic activity,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
population,All usual residents aged 16 to 74,,,,,,,,,,,,,,,
units,Persons,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Area,All categories: Economic activity,Active: Total,Active: Employee: Part-time,Active: Employee: Full-time,Active: Self-employed with employees: Part-time,Active: Self-employed with employees: Full-time,Active: Self-employed without employees: Part-time,Active: Self-employed without employees: Full-time,Active: Unemployed,Active: Full-time student,Inactive: Total,Inactive: Retired,Inactive: Student (including full-time students),Inactive: Looking after home or family,Inactive: Long-term sick or disabled,Inactive: Other
uacounty09:Darlington,"76,635","53,443","11,555","30,337",234,"1,254","1,289","2,818","4,002","1,954","23,192","12,214","2,742","3,081","3,737","1,418"
uacounty09:County Durham,"383,796","247,101","50,595","143,922","1,052","5,717","5,799","12,741","17,013","10,262","136,695","65,444","23,837","14,190","24,887","8,337"
uacounty09:Hartlepool,"66,804","43,513","10,092","22,635",212,846,892,"1,855","5,194","1,787","23,291","10,621","3,042","3,265","4,733","1,630"
uacounty09:Middlesbrough,"100,551","63,582","15,063","31,301",300,"1,068","1,331","2,472","7,631","4,416","36,969","13,922","7,453","5,569","6,841","3,184"
uacounty09:Northumberland,"233,224","158,268","34,368","86,380",993,"5,351","5,151","10,568","10,329","5,128","74,956","43,897","8,108","8,368","10,321","4,262"
uacounty09:Redcar and Cleveland,"99,177","63,530","15,322","33,372",285,"1,235","1,436","2,908","6,533","2,439","35,647","19,206","4,142","4,361","5,869","2,069"
uacounty09:Stockton-on-Tees,"140,654","96,259","22,070","52,927",410,"2,017","2,119","4,395","8,075","4,246","44,395","20,767","7,277","5,911","6,861","3,579"
uacounty09:Gateshead,"148,079","100,184","21,023","58,988",351,"1,887","2,059","4,509","7,419","3,948","47,895","23,531","6,832","5,670","8,844","3,018"
uacounty09:Newcastle upon Tyne,"212,864","133,848","25,835","69,811",675,"3,017","3,204","6,236","10,652","14,418","79,016","24,571","29,253","8,868","11,509","4,815"
uacounty09:North Tyneside,"147,889","104,242","21,815","61,349",354,"2,074","2,274","4,933","7,304","4,139","43,647","23,497","5,310","5,048","7,354","2,438"
uacounty09:South Tyneside,"108,981","72,645","15,480","40,838",289,"1,379","1,287","2,993","7,145","3,234","36,336","17,355","4,611","4,696","7,234","2,440"
uacounty09:Sunderland,"205,552","135,467","29,186","75,899",586,"2,529","2,788","5,574","12,016","6,889","70,085","32,215","10,778","8,666","14,084","4,342"
uacounty09:Blackburn with Darwen,"104,417","67,033","14,535","35,597",520,"1,703","2,050","3,724","5,575","3,329","37,384","13,248","6,065","7,061","7,378","3,632"
uacounty09:Blackpool,"103,813","68,540","14,836","34,230",349,"1,646","2,415","5,550","6,337","3,177","35,273","16,807","3,809","3,943","8,228","2,486"
uacounty09:Cheshire East,"270,953","191,253","38,940","106,863","1,205","6,533","7,713","13,605","8,742","7,652","79,700","46,446","11,341","9,591","8,327","3,995"
uacounty09:Cheshire West and Chester,"243,155","170,778","36,206","95,642",887,"4,729","5,711","10,529","8,949","8,125","72,377","39,893","10,746","8,620","9,574","3,544"
uacounty09:Halton,"92,708","63,411","13,102","37,219",194,"1,056","1,230","2,940","5,151","2,519","29,297","13,332","3,858","3,900","6,451","1,756"
uacounty09:Warrington,"149,461","107,765","21,782","63,875",472,"2,389","2,886","5,870","5,961","4,530","41,696","22,189","5,441","4,917","6,063","3,086"
uacounty09:Cumbria,"368,880","257,155","59,570","136,835","1,712","8,864","8,784","19,874","12,346","9,170","111,725","66,857","11,492","11,015","16,547","5,814"
uacounty09:Bolton,"200,723","134,933","27,798","74,631",839,"3,394","4,086","8,029","9,913","6,243","65,790","29,514","10,318","9,504","11,574","4,880"
uacounty09:Bury,"134,687","94,680","19,118","53,953",533,"2,539","3,129","6,019","5,769","3,620","40,007","19,558","6,074","5,168","6,596","2,611"
uacounty09:Manchester,"382,932","243,224","41,535","128,930","1,099","4,060","6,794","11,675","21,880","27,251","139,708","29,179","53,999","18,697","25,161","12,672"
uacounty09:Oldham,"159,765","106,398","22,171","58,410",659,"2,581","3,047","6,147","8,661","4,722","53,367","22,426","8,135","9,038","9,209","4,559"
uacounty09:Rochdale,"152,742","101,003","20,101","55,604",629,"2,436","2,982","6,069","9,047","4,135","51,739","20,853","8,025","7,838","10,446","4,577"
