2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Darlington,"46,670","15,101","6,124","8,977","29,370","3,877","15,053","6,120","2,674","3,785","2,474",43,36,4,1,2,"4,796","2,457","1,034","1,098",207,"5,601","2,392","1,652","1,557","2,199",439,366,11,101,"1,282"
uacounty09:County Durham,"223,803","70,007","30,493","39,514","142,738","19,385","76,057","31,603","13,432","16,537","14,485",195,163,19,11,2,"22,038","10,555","5,347","4,893","1,243","25,063","10,443","6,702","7,918","11,058","2,141","1,573","1,517",592,"5,235"
uacounty09:Hartlepool,"40,434","13,392","5,544","7,848","25,251","3,069","12,544","4,873","2,310","2,935","2,426",33,29,1,2,1,"4,210","1,831","1,025","1,115",239,"5,395","2,189","1,729","1,477","1,791",429,356,14,113,879
uacounty09:Middlesbrough,"57,203","17,708","7,290","10,418","34,875","3,928","16,751","5,899","2,801","4,572","3,479",46,37,6,3,0,"5,617","2,456","1,150","1,596",415,"8,533","3,408","2,552","2,573","4,620",913,831,684,198,"1,994"
uacounty09:Northumberland,"138,534","41,406","19,407","21,999","91,809","14,239","50,769","22,263","8,226","11,771","8,509",121,104,9,7,1,"13,293","6,769","3,002","2,876",646,"13,387","5,189","3,421","4,777","5,319","1,111",966,22,384,"2,836"
uacounty09:Redcar and Cleveland,"59,605","18,735","8,791","9,944","38,456","5,655","19,510","7,984","3,314","4,282","3,930",40,30,4,4,2,"5,927","2,537","1,534","1,492",364,"7,324","2,945","2,196","2,183","2,414",613,423,11,126,"1,241"
uacounty09:Stockton-on-Tees,"79,159","21,986","9,416","12,570","52,784","6,374","27,910","10,397","5,208","7,148","5,157",55,42,9,3,1,"8,690","4,251","1,963","1,957",519,"9,755","3,935","2,875","2,945","4,389","1,070",892,204,171,"2,052"
uacounty09:Gateshead,"89,154","29,313","12,138","17,175","54,914","7,170","27,276","10,525","4,924","6,344","5,483",131,108,9,9,5,"9,741","5,119","2,064","2,014",544,"10,596","4,359","2,622","3,615","4,927",995,727,88,234,"2,883"
uacounty09:Newcastle upon Tyne,"117,153","40,337","14,705","25,632","62,547","6,910","31,099","10,953","5,796","8,778","5,572",174,153,10,7,4,"11,336","6,172","2,103","2,450",611,"13,028","5,109","3,834","4,085","14,269","1,386","1,331","4,706",294,"6,552"
uacounty09:North Tyneside,"91,295","30,960","12,641","18,319","56,303","7,245","29,277","11,559","5,407","7,090","5,221",102,94,2,4,2,"9,240","4,968","2,014","1,745",513,"10,439","4,443","2,790","3,206","4,032",805,672,27,207,"2,321"
