2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
uacounty09:Darlington,"46,670",154,736,"3,831","9,393","12,139","10,265","4,781","2,876","2,495"
uacounty09:County Durham,"223,803",281,"2,078","13,929","52,693","65,226","44,911","21,492","12,717","10,476"
uacounty09:Hartlepool,"40,434",95,502,"3,456","8,535","10,786","8,563","3,953","2,354","2,190"
uacounty09:Middlesbrough,"57,203",235,959,"5,029","10,087","18,630","12,446","5,130","2,691","1,996"
uacounty09:Northumberland,"138,534",275,"1,611","10,068","28,562","34,943","27,142","15,046","10,106","10,781"
uacounty09:Redcar and Cleveland,"59,605",114,625,"4,500","11,296","17,351","13,748","6,207","3,358","2,406"
uacounty09:Stockton-on-Tees,"79,159",212,922,"5,890","12,586","22,799","17,618","8,816","5,438","4,878"
uacounty09:Gateshead,"89,154",306,"1,657","8,702","25,235","24,835","15,409","6,985","3,486","2,539"
uacounty09:Newcastle upon Tyne,"117,153",672,"3,527","12,460","29,594","29,965","19,980","10,009","5,880","5,066"
uacounty09:North Tyneside,"91,295",206,"1,352","8,745","22,186","23,533","17,618","9,107","5,091","3,457"
uacounty09:South Tyneside,"67,167",131,974,"6,683","15,948","20,188","13,251","5,448","2,708","1,836"
uacounty09:Sunderland,"119,758",512,"1,805","11,529","28,646","33,768","23,743","10,665","5,380","3,710"
uacounty09:Blackburn with Darwen,"57,353",220,"1,066","4,568","10,784","16,088","13,273","5,619","3,131","2,604"
uacounty09:Blackpool,"64,367",557,"2,242","7,809","11,704","16,027","15,294","6,255","2,657","1,822"
uacounty09:Cheshire East,"159,441",320,"1,942","10,905","25,464","37,094","31,450","19,791","14,844","17,631"
uacounty09:Cheshire West and Chester,"141,442",430,"1,869","9,315","21,486","36,093","30,273","17,648","11,802","12,526"
uacounty09:Halton,"53,312",93,694,"4,547","8,449","17,408","11,740","5,271","2,820","2,290"
uacounty09:Warrington,"85,140",196,"1,317","7,455","12,450","22,886","18,618","9,714","6,393","6,111"
uacounty09:Cumbria,"222,042",548,"3,193","13,210","41,179","59,717","47,576","25,193","15,707","15,719"
uacounty09:Bolton,"116,371",406,"2,392","11,282","26,695","30,913","23,317","10,431","5,980","4,955"
uacounty09:Bury,"78,113",200,"1,280","6,602","15,965","20,530","16,743","8,208","4,684","3,901"
uacounty09:Manchester,"204,969","2,424","11,445","34,381","41,139","56,417","35,749","12,704","6,163","4,547"
uacounty09:Oldham,"89,703",209,"1,349","7,479","23,253","26,150","16,795","7,592","4,005","2,871"
uacounty09:Rochdale,"87,552",303,"1,774","9,041","20,889","24,788","15,743","7,334","4,265","3,415"
uacounty09:Salford,"103,556","1,149","3,443","13,849","22,410","27,970","20,362","7,397","3,789","3,187"
uacounty09:Stockport,"121,979",357,"2,029","10,036","20,609","30,557","27,704","14,568","8,773","7,346"
uacounty09:Tameside,"94,953",272,"1,700","9,016","23,542","28,189","18,340","7,556","3,836","2,502"
uacounty09:Trafford,"94,484",391,"1,650","8,498","14,111","20,827","23,456","11,821","6,964","6,766"
uacounty09:Wigan,"136,386",328,"1,648","10,198","25,673","42,926","30,770","13,018","7,024","4,801"
uacounty09:Lancashire,"496,299","1,409","7,687","38,240","89,566","129,077","109,201","55,508","33,932","31,679"
uacounty09:Knowsley,"61,323",110,678,"4,491","10,043","21,278","14,283","5,995","2,832","1,613"
uacounty09:Liverpool,"206,515","2,082","7,072","25,403","38,579","55,875","45,664","16,450","9,007","6,383"
uacounty09:Sefton,"117,930",468,"1,987","9,561","16,815","27,580","30,248","15,132","8,476","7,663"
uacounty09:St. Helens,"75,736",144,763,"4,904","12,418","24,277","19,185","7,525","3,794","2,726"
uacounty09:Wirral,"140,583",393,"1,999","11,094","20,922","32,805","35,361","17,953","10,535","9,521"
uacounty09:East Riding of Yorkshire,"143,032",251,"1,655","8,062","24,894","34,883","29,967","17,563","12,317","13,440"
"uacounty09:Kingston upon Hull, City of","112,596",635,"2,973","12,575","29,994","34,621","19,406","7,026","3,258","2,108"
uacounty09:North East Lincolnshire,"69,707",223,987,"5,526","9,706","20,054","18,833","7,575","4,016","2,787"
uacounty09:North Lincolnshire,"70,684",139,627,"4,361","10,231","18,896","18,158","8,075","5,143","5,054"
uacounty09:York,"83,552",471,"1,963","8,097","17,198","20,365","15,993","9,021","5,677","4,767"
uacounty09:North Yorkshire,"256,594",827,"4,245","18,091","45,583","58,164","49,749","31,191","22,004","26,740"
uacounty09:Barnsley,"100,734",225,"1,147","6,821","22,128","33,055","21,032","8,491","4,612","3,223"
uacounty09:Doncaster,"126,487",361,"1,386","8,335","20,059","40,400","31,471","12,461","6,679","5,335"
uacounty09:Rotherham,"108,293",247,"1,192","7,995","19,526","34,074","25,666","10,403","5,415","3,775"
uacounty09:Sheffield,"229,928","2,071","6,538","24,136","46,196","67,134","44,334","19,625","10,883","9,011"
uacounty09:Bradford,"199,296","1,308","5,563","20,573","40,053","52,673","37,119","19,308","11,992","10,707"
uacounty09:Calderdale,"88,621",283,"2,106","10,046","21,421","21,731","15,514","7,930","4,934","4,656"
uacounty09:Kirklees,"173,525",976,"4,958","18,805","37,940","43,051","32,038","16,447","10,255","9,055"
uacounty09:Leeds,"320,596","2,996","10,944","36,195","71,466","81,506","57,321","28,997","16,608","14,563"
uacounty09:Wakefield,"140,414",437,"2,021","10,269","31,837","43,144","27,906","12,626","6,862","5,312"
uacounty09:Derby,"102,271",509,"2,181","9,783","17,175","29,319","22,735","10,127","5,737","4,705"
