2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
uacounty09:Darlington,"49,014","4,639","7,447","5,741","5,886","5,808","4,832","5,461","3,562","5,638"
uacounty09:County Durham,"227,894","20,169","33,042","24,335","25,774","28,753","23,446","21,042","23,243","28,090"
uacounty09:Hartlepool,"37,767","3,035","4,921","3,958","3,853","5,126","4,359","3,880","3,879","4,756"
uacounty09:Middlesbrough,"54,547","3,884","7,247","5,177","5,541","6,437","6,646","6,077","5,483","8,055"
uacounty09:Northumberland,"146,901","15,459","22,807","16,827","16,891","19,038","15,579","12,688","11,390","16,222"
uacounty09:Redcar and Cleveland,"56,354","4,370","7,420","6,076","6,087","7,702","6,834","5,317","5,369","7,179"
uacounty09:Stockton-on-Tees,"87,122","7,894","13,885","10,330","9,887","10,139","8,523","9,129","7,280","10,055"
uacounty09:Gateshead,"91,877","7,720","13,979","10,437","11,925","10,484","8,667","10,206","7,586","10,873"
uacounty09:Newcastle upon Tyne,"119,335","9,556","24,317","12,916","13,505","11,237","10,739","13,609","7,466","15,990"
uacounty09:North Tyneside,"96,026","8,205","16,953","11,624","13,912","10,077","8,662","10,312","6,613","9,668"
uacounty09:South Tyneside,"64,622","5,031","8,545","7,097","8,480","8,174","6,738","6,862","6,120","7,575"
uacounty09:Sunderland,"121,511","9,278","14,842","12,076","15,464","14,679","12,137","14,959","11,969","16,107"
uacounty09:Blackburn with Darwen,"60,523","5,670","8,482","5,718","6,702","7,176","6,823","5,992","6,791","7,169"
uacounty09:Blackpool,"61,419","6,832","6,330","5,546","8,351","7,184","7,537","6,200","4,848","8,591"
uacounty09:Cheshire East,"181,136","24,551","35,525","23,592","18,819","18,711","16,059","13,650","11,849","18,380"
uacounty09:Cheshire West and Chester,"160,138","18,672","29,045","19,767","16,853","17,003","14,320","14,739","11,906","17,833"
uacounty09:Halton,"57,577","4,705","6,864","6,354","6,818","6,127","5,466","7,090","6,235","7,918"
uacounty09:Warrington,"100,856","11,178","18,256","13,081","11,716","9,610","8,628","9,885","6,872","11,630"
uacounty09:Cumbria,"243,231","24,935","34,062","23,604","23,720","39,294","23,706","20,885","22,802","30,223"
uacounty09:Bolton,"123,367","12,018","18,434","14,147","14,556","14,129","11,969","12,973","10,887","14,254"
uacounty09:Bury,"88,036","9,415","15,320","11,204","10,825","8,896","8,552","8,537","6,723","8,564"
uacounty09:Manchester,"213,705","15,977","42,788","26,590","22,286","16,083","20,847","24,065","13,372","31,697"
uacounty09:Oldham,"96,300","8,867","12,481","10,140","11,303","12,652","9,957","8,835","9,326","12,739"
uacounty09:Rochdale,"90,753","8,295","12,413","9,382","10,711","10,805","10,074","8,456","9,076","11,541"
uacounty09:Salford,"106,904","9,470","16,122","12,980","13,900","10,474","10,830","11,478","7,897","13,753"
uacounty09:Stockport,"137,130","15,544","27,091","18,080","17,082","13,854","12,830","13,133","8,141","11,375"
uacounty09:Tameside,"101,892","9,069","12,129","11,311","13,599","13,334","10,164","10,505","10,325","11,456"
uacounty09:Trafford,"110,912","12,978","24,907","15,518","14,288","9,595","8,814","9,879","5,754","9,179"
uacounty09:Wigan,"149,908","13,429","20,108","16,630","17,337","19,155","15,395","13,809","15,513","18,532"
uacounty09:Lancashire,"546,208","56,421","89,415","60,753","62,354","68,447","58,227","45,777","44,854","59,960"
uacounty09:Knowsley,"61,691","4,469","7,199","6,199","8,239","7,056","7,327","6,884","6,540","7,778"
uacounty09:Liverpool,"196,630","15,005","34,400","22,029","24,977","17,627","20,742","20,772","14,601","26,477"
uacounty09:Sefton,"121,919","11,967","19,587","14,187","17,625","12,867","13,154","11,775","8,272","12,485"
uacounty09:St. Helens,"78,580","6,896","11,526","8,570","9,323","9,228","8,586","7,187","7,162","10,102"
uacounty09:Wirral,"139,929","13,034","24,738","16,816","18,013","15,208","15,277","11,971","10,685","14,187"
uacounty09:East Riding of Yorkshire,"158,757","19,073","25,851","18,198","17,718","21,761","15,246","12,083","11,767","17,060"
"uacounty09:Kingston upon Hull, City of","110,903","7,306","11,612","10,389","11,021","15,530","11,576","12,620","12,531","18,318"
uacounty09:North East Lincolnshire,"70,776","5,839","7,346","6,830","7,205","9,163","7,347","6,659","10,521","9,866"
uacounty09:North Lincolnshire,"78,101","7,654","9,522","7,504","7,681","10,703","7,461","6,081","10,047","11,448"
uacounty09:York,"98,721","10,375","19,864","11,950","10,260","9,902","8,993","10,228","5,587","11,562"
uacounty09:North Yorkshire,"299,201","38,816","47,407","39,274","30,046","42,547","27,090","21,484","19,813","32,724"
uacounty09:Barnsley,"103,579","9,372","12,836","10,260","10,450","14,242","10,781","10,870","11,291","13,477"
uacounty09:Doncaster,"133,815","12,078","15,111","13,199","13,530","17,283","13,875","13,922","14,079","20,738"
uacounty09:Rotherham,"114,871","10,285","14,407","11,387","12,652","15,018","11,983","12,670","12,205","14,264"
uacounty09:Sheffield,"244,318","20,481","47,803","27,794","27,279","26,275","23,217","23,925","18,199","29,345"
uacounty09:Bradford,"218,937","20,571","32,021","23,720","25,835","25,708","22,306","19,561","21,370","27,845"
uacounty09:Calderdale,"96,645","10,327","16,340","12,120","11,282","11,737","9,455","7,151","8,552","9,681"
uacounty09:Kirklees,"192,397","20,521","29,941","22,423","20,707","23,698","17,826","16,711","18,843","21,727"
uacounty09:Leeds,"355,225","33,735","65,784","46,626","42,777","36,027","32,353","33,516","23,312","41,095"
uacounty09:Wakefield,"151,828","13,859","18,471","16,178","16,765","18,414","14,824","13,378","16,322","23,617"
uacounty09:Derby,"112,422","9,700","18,421","12,570","11,887","12,221","11,246","10,570","10,860","14,947"
uacounty09:Leicester,"137,494","9,556","19,628","12,808","13,883","12,636","13,388","14,859","17,406","23,330"
uacounty09:Nottingham,"123,218","9,055","19,437","13,232","11,942","11,831","12,616","13,540","10,765","20,800"
