2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
uacounty09:Darlington,"105,564","73,433","71,122",307,317,45,971,361,310,"25,415","6,716"
uacounty09:County Durham,"513,242","375,599","369,715","1,001",607,208,"1,934",609,"1,525","107,281","30,362"
uacounty09:Hartlepool,"92,028","65,642","64,349",152,168,9,689,97,178,"20,507","5,879"
uacounty09:Middlesbrough,"138,412","99,084","87,511",370,591,45,"9,757",564,246,"30,797","8,531"
uacounty09:Northumberland,"316,028","220,247","216,673",578,335,169,"1,018",494,980,"75,620","20,161"
uacounty09:Redcar and Cleveland,"135,177","96,398","95,111",187,64,33,598,43,362,"30,054","8,725"
uacounty09:Stockton-on-Tees,"191,610","137,030","130,723",388,675,94,"4,143",625,382,"42,910","11,670"
uacounty09:Gateshead,"200,214","140,980","134,075",423,497,"3,004","2,096",356,529,"47,758","11,476"
uacounty09:Newcastle upon Tyne,"280,177","183,193","158,138","1,701","3,144",671,"17,561","1,223",755,"79,345","17,639"
uacounty09:North Tyneside,"200,801","131,601","128,185",436,513,92,"1,493",354,528,"56,408","12,792"
uacounty09:South Tyneside,"148,127","108,264","104,090",223,254,57,"2,854",424,362,"31,247","8,616"
uacounty09:Sunderland,"275,506","199,850","193,642",550,607,76,"3,650",814,511,"60,358","15,298"
uacounty09:Blackburn with Darwen,"147,489","118,806","77,599",306,574,54,"39,817",161,295,"20,374","8,309"
uacounty09:Blackpool,"142,065","98,158","95,426",450,337,252,"1,061",61,571,"34,815","9,092"
uacounty09:Cheshire East,"370,127","261,513","254,940",882,"1,328",581,"2,438",279,"1,065","83,973","24,641"
uacounty09:Cheshire West and Chester,"329,608","235,540","231,126",776,653,250,"1,686",195,854,"72,649","21,419"
uacounty09:Halton,"125,746","95,393","94,314",216,194,44,267,55,303,"23,543","6,810"
uacounty09:Warrington,"202,228","149,098","144,405",457,"1,118",147,"2,097",361,513,"41,293","11,837"
uacounty09:Cumbria,"499,858","364,114","359,235","1,353",559,203,"1,336",64,"1,364","101,496","34,248"
uacounty09:Bolton,"276,786","213,568","173,608",574,"5,988",174,"32,385",118,721,"47,567","15,651"
uacounty09:Bury,"185,060","139,610","116,036",453,817,"10,302","11,279",301,422,"34,381","11,069"
uacounty09:Manchester,"503,127","340,868","245,247","3,879","5,452","2,613","79,496","2,292","1,889","127,485","34,774"
uacounty09:Oldham,"224,897","176,234","134,167",371,"1,233",108,"39,879",70,406,"36,169","12,494"
uacounty09:Rochdale,"211,699","159,374","128,186",403,642,216,"29,426",71,430,"40,014","12,311"
uacounty09:Salford,"233,933","167,387","150,111","1,040","1,504","7,687","6,030",324,691,"52,105","14,441"
uacounty09:Stockport,"283,275","193,639","179,055",853,"1,666","1,340","9,431",330,964,"71,126","18,510"
uacounty09:Tameside,"219,324","154,603","140,322",511,"3,223",89,"9,705",102,651,"51,674","13,047"
uacounty09:Trafford,"226,578","164,303","143,639",768,"2,271","2,413","12,994","1,652",566,"47,968","14,307"
uacounty09:Wigan,"317,849","251,592","247,223",703,682,71,"2,162",62,689,"48,640","17,617"
uacounty09:Lancashire,"1,171,339","875,601","805,510","2,792","5,632",859,"55,722","1,404","3,682","224,446","71,292"
uacounty09:Knowsley,"145,893","119,119","117,991",165,266,58,435,37,167,"18,439","8,335"
uacounty09:Liverpool,"466,415","354,690","331,217","2,017","2,437","2,157","15,209",531,"1,122","82,701","29,024"
