2011 census qs405ew - tenure - households,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Area,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household,Private rented: Other,Living rent free
uacounty09:Darlington,"46,670","30,289","13,810","16,479",178,"7,228","5,238","1,990","8,513","7,758",112,546,97,462
uacounty09:County Durham,"223,803","147,347","69,435","77,912",488,"45,004","28,559","16,445","28,142","25,498",185,"2,121",338,"2,822"
uacounty09:Hartlepool,"40,434","24,194","11,090","13,104",200,"9,515","4,016","5,499","5,971","5,525",26,349,71,554
uacounty09:Middlesbrough,"57,203","32,723","15,200","17,523",336,"13,654","6,049","7,605","9,509","8,648",98,570,193,981
uacounty09:Northumberland,"138,534","91,207","46,086","45,121",510,"25,841","14,820","11,021","18,417","16,225",434,"1,388",370,"2,559"
uacounty09:Redcar and Cleveland,"59,605","39,705","19,806","19,899",256,"11,568","5,999","5,569","7,434","6,698",55,578,103,642
uacounty09:Stockton-on-Tees,"79,159","54,225","23,285","30,940",255,"13,625","7,285","6,340","10,387","9,417",41,788,141,667
uacounty09:Gateshead,"89,154","51,915","23,081","28,834",363,"24,941","19,985","4,956","11,125","10,130",47,844,104,810
uacounty09:Newcastle upon Tyne,"117,153","57,955","26,258","31,697",489,"34,850","27,340","7,510","22,318","20,462",113,"1,236",507,"1,541"
uacounty09:North Tyneside,"91,295","59,136","25,611","33,525",374,"19,677","14,610","5,067","11,300","10,146",77,969,108,808
uacounty09:South Tyneside,"67,167","38,333","17,003","21,330",297,"21,204","16,967","4,237","6,758","6,040",41,597,80,575
uacounty09:Sunderland,"119,758","71,566","32,419","39,147",352,"32,399","16,725","15,674","14,552","13,077",91,"1,053",331,889
uacounty09:Blackburn with Darwen,"57,353","36,793","18,039","18,754",290,"10,391","3,228","7,163","8,993","8,113",72,618,190,886
uacounty09:Blackpool,"64,367","39,650","19,318","20,332",239,"6,999","4,823","2,176","16,770","15,549",62,"1,062",97,709
uacounty09:Cheshire East,"159,441","118,766","59,846","58,920",779,"18,141","4,285","13,856","19,938","18,244",223,"1,200",271,"1,817"
uacounty09:Cheshire West and Chester,"141,442","100,105","49,129","50,976","1,088","20,808","10,482","10,326","17,734","16,021",313,"1,100",300,"1,707"
uacounty09:Halton,"53,312","33,796","14,436","19,360",322,"13,441","2,502","10,939","5,212","4,752",14,376,70,541
uacounty09:Warrington,"85,140","60,915","27,206","33,709",637,"13,318","6,147","7,171","9,549","8,683",52,718,96,721
uacounty09:Cumbria,"222,042","157,050","87,019","70,031","1,106","31,778","10,761","21,017","28,481","25,183",551,"2,305",442,"3,627"
uacounty09:Bolton,"116,371","74,170","35,378","38,792",605,"23,825","16,575","7,250","15,930","14,555",73,"1,094",208,"1,841"
uacounty09:Bury,"78,113","54,395","24,839","29,556",247,"11,703","7,314","4,389","10,774","9,859",44,780,91,994
uacounty09:Manchester,"204,969","77,395","31,145","46,250","1,481","64,682","27,585","37,097","58,170","55,043",167,"2,153",807,"3,241"
uacounty09:Oldham,"89,703","58,259","27,193","31,066",352,"18,918","8,708","10,210","10,944","9,676",57,"1,018",193,"1,230"
