
"annual survey of hours and earnings  - resident analysis"
"ONS Crown Copyright Reserved [from Nomis on 9 May 2013]"
"Analysis   :","standard"
"Date       :","2012"
"Sex        :","Male Full Time Workers"
"Item Name  :","Median"
"Confidence :","Standard error as a percentage of the figure"
"Area","Weekly pay - gross","Conf %","Weekly pay - excluding overtime","Conf %","Weekly pay - basic","Conf %","Overtime pay","Conf %","Hourly pay - gross","Conf %","Hourly pay - excluding overtime","Conf %","Annual pay - gross","Conf %","Annual pay - incentive","Conf %","Hours worked - total","Conf %","Hours worked - basic","Conf %","Hours worked - overtime","Conf %"
"ualad09:Darlington",456.2,11.0,438.5,9.2,435.3,9.4,"#","#",11.24,11.0,11.24,11.0,24346,14.0,"#","#",39.7,1.6,37.5,1.8,"#","#"
"ualad09:County Durham",479.1,3.6,464.4,2.3,454.4,3.4,"#","#",12.27,3.6,12.13,3.4,25593,4.8,"#","#",39.0,1.2,37.5,0.8,4.1,17.0
"ualad09:Hartlepool",528.2,9.4,507.5,7.5,476.6,7.7,"#","#",12.99,7.4,12.86,8.2,28028,8.1,"#","#",39.0,1.7,37.8,1.1,"#","#"
"ualad09:Middlesbrough",457.1,9.0,403.4,7.5,398.4,7.2,"#","#",10.53,9.7,10.40,8.0,24477,15.0,"#","#",39.9,1.9,37.5,1.6,"#","#"
"ualad09:Northumberland",518.3,4.2,489.8,5.3,471.8,5.3,"#","#",12.88,5.4,12.77,4.7,26531,4.6,"#","#",38.2,1.0,37.5,0.8,"#","#"
"ualad09:Redcar and Cleveland",479.5,6.8,446.2,7.3,410.6,7.1,"#","#",11.97,8.0,11.89,8.4,23980,13.0,"#","#",39.0,1.6,38.0,1.7,"#","#"
"ualad09:Stockton-on-Tees",562.4,6.0,508.7,6.0,474.5,7.2,"#","#",13.57,6.2,13.25,6.2,27773,7.3,"#","#",39.0,1.6,37.5,1.0,"#","#"
"ualad09:Gateshead",482.3,5.3,446.5,6.0,433.3,4.8,"#","#",11.52,6.6,11.49,6.3,24874,11.0,"#","#",38.9,1.5,37.5,1.0,"#","#"
"ualad09:Newcastle upon Tyne",490.6,5.5,470.4,6.4,451.9,6.5,"#","#",12.56,5.8,12.23,6.7,25233,11.0,"#","#",37.8,1.1,37.5,1.0,"#","#"
"ualad09:North Tyneside",511.6,6.2,463.2,6.9,443.2,6.4,"#","#",12.33,6.6,12.28,5.7,26442,8.1,"#","#",37.5,1.1,37.4,0.3,"#","#"
"ualad09:South Tyneside",498.5,8.4,452.7,8.1,438.4,8.3,"#","#",11.75,8.2,11.58,7.9,25011,15.0,"#","#",38.5,1.7,37.5,1.3,"#","#"
"ualad09:Sunderland",440.0,3.9,418.1,3.9,393.7,3.7,43.7,15.0,11.02,3.8,10.88,4.1,23074,5.5,"#","#",38.8,1.4,37.5,0.6,3.3,14.0
"ualad09:Blackburn with Darwen",422.6,7.2,416.7,6.0,386.8,7.9,"#","#",10.78,8.7,10.65,8.9,21924,8.8,"#","#",38.0,1.7,37.5,1.0,"#","#"
"ualad09:Blackpool",395.5,6.6,379.2,5.5,376.1,5.7,"#","#",9.61,5.5,9.55,5.4,20387,13.0,"#","#",39.0,1.6,37.5,1.4,"#","#"
"ualad09:Cheshire East",574.9,5.0,538.7,5.3,523.0,4.9,83.1,18.0,13.77,6.4,13.68,6.3,30867,7.6,"#","#",38.0,1.4,37.5,1.0,4.9,20.0
"ualad09:Cheshire West and Chester",594.9,4.9,586.8,4.7,555.2,5.2,44.9,19.0,15.38,5.7,15.15,5.9,30199,6.3,"#","#",37.7,1.0,37.5,1.0,"#","#"
"ualad09:Halton",499.6,8.8,460.0,9.2,428.6,8.8,"#","#",12.24,11.0,12.11,11.0,26658,13.0,"#","#",38.7,1.7,37.5,1.0,"#","#"
"ualad09:Warrington",530.1,7.1,487.0,6.9,468.0,7.4,"#","#",12.31,7.8,11.97,7.8,28803,9.2,"#","#",38.8,1.7,37.5,1.6,"#","#"
