
"annual survey of hours and earnings  - resident analysis"
"ONS Crown Copyright Reserved [from Nomis on 9 May 2013]"
"Analysis   :","standard"
"Date       :","2012"
"Sex        :","Male Full Time Workers"
"Item Name  :","Mean"
"Confidence :","Standard error as a percentage of the figure"

"Area","Weekly pay - gross","Conf %","Weekly pay - excluding overtime","Conf %","Weekly pay - basic","Conf %","Overtime pay","Conf %","Hourly pay - gross","Conf %","Hourly pay - excluding overtime","Conf %","Annual pay - gross","Conf %","Annual pay - incentive","Conf %","Hours worked - total","Conf %","Hours worked - basic","Conf %","Hours worked - overtime","Conf %"

"ualad09:Darlington",554.4,5.8,523.7,5.6,509.9,5.6,"#","#",13.60,5.7,13.39,5.8,28456,7.1,"#","#",40.8,1.4,39.1,1.0,"#","#"
"ualad09:County Durham",583.8,3.9,558.8,4.1,542.8,4.2,24.9,12.0,14.63,4.0,14.54,4.1,30042,3.9,1040,20.0,39.9,0.6,38.4,0.4,1.5,11.0
"ualad09:Hartlepool",598.3,6.5,566.6,6.4,530.1,6.2,"#","#",14.43,6.8,14.38,6.7,33236,8.2,"#","#",41.5,2.0,39.4,1.4,"#","#"
"ualad09:Middlesbrough",540.4,5.4,507.6,5.5,494.2,5.7,32.8,20.0,13.20,5.4,13.11,5.5,28782,7.8,"#","#",40.9,1.3,38.7,0.9,2.2,19.0
"ualad09:Northumberland",626.8,3.8,599.2,3.9,577.1,3.8,27.6,20.0,15.62,3.9,15.61,4.0,33040,5.2,"#","#",40.1,0.9,38.4,0.6,1.7,18.0
"ualad09:Redcar and Cleveland",533.3,4.4,499.3,4.5,472.0,4.7,"#","#",12.84,4.4,12.86,4.5,27232,5.5,"#","#",41.5,1.8,38.8,0.9,"#","#"
"ualad09:Stockton-on-Tees",625.5,4.3,589.1,4.5,567.7,4.4,36.4,17.0,15.34,4.4,15.31,4.6,32276,5.6,"#","#",40.8,1.2,38.5,0.9,2.3,16.0
"ualad09:Gateshead",556.9,4.0,530.9,4.1,509.8,3.5,26.0,18.0,13.93,3.9,13.87,4.0,29239,6.2,"#","#",40.0,1.1,38.3,0.6,1.7,19.0
"ualad09:Newcastle upon Tyne",582.7,3.9,559.2,3.7,544.8,3.9,"#","#",14.69,4.0,14.56,3.9,31048,10.0,"#","#",39.7,1.2,38.4,1.1,1.3,19.0
"ualad09:North Tyneside",562.8,4.3,538.6,4.4,527.1,4.5,"#","#",14.28,4.2,14.20,4.3,29053,5.8,"#","#",39.4,0.9,37.9,0.6,1.5,19.0
"ualad09:South Tyneside",581.5,6.1,537.4,5.1,522.4,5.0,"#","#",14.33,5.8,13.96,5.3,30123,8.6,"#","#",40.6,1.5,38.5,0.9,"#","#"
"ualad09:Sunderland",499.7,2.7,474.0,2.7,454.8,2.8,25.6,15.0,12.46,2.7,12.39,2.8,26567,3.3,"#","#",40.1,0.8,38.3,0.5,1.8,14.0
